,工种_pred,自我介绍,工种_true
92,亮化/市政照明 || 水电工/电工 || 电工,电工找活，在大兴住，有电工证，做管穿线，装灯，都可以。有需要人的老板请联系,-- || -- || 水电工/电工
93,亮化/市政照明 || 水电工/电工 || 电工,"电工一人到多人找活，安装穿线配管都可以，工装家装都行 
  北京",-- || -- || 水电工/电工
94,,明天还有6个木工，找活  石家庄,-- || -- || 建筑木工/铝模/拆模/二次结构
95,,找活：专业切空鼓团队，借贵平台找切空鼓的活，自带工具，最好是包工，广东省内都可以，人在惠州陈江，有需要的老板来电大量从优，微信同步,-- || -- || 瓦工/泥工/抹灰/砌砖/贴砖/美缝
96,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,明天没雨明了，天找活，我有五个内外架师傅，有需要帮忙的联系方式。 福建架子工,-- || -- || 架子工/爬架/拆架
97,,本团队现有10个木工包工人员找活；寻找大面积车库及厂房；限山东，河北范围及区县；需要木工包工人员的老总欢迎来电合作：联系电话：,-- || -- || 建筑木工/铝模/拆模/二次结构
98,焊工/铆工/钣金/钳工 || 焊工 || 钢结构/打板/不锈钢/抗震支架,下午找活，电焊二保氩弧焊  天津滨海,-- || -- || 焊工
99,焊工/铆工/钣金/钳工 || 焊工 || 钢结构/打板/不锈钢/抗震支架,电焊工找活儿 山东济南,-- || -- || 焊工
100,空调/管道/通风/管网 || 水电工/电工,水工找活，人在北京，电话,-- || -- || 水电工/电工
101,亮化/市政照明 || 水电工/电工 || 电工,电工找活，人在大兴天宫院住电话,-- || -- || 水电工/电工
102,桥梁 || 隧道/涵洞 || 建筑木工/铝模/拆模/二次结构,找活，找活？山东境内 专业拆木模，模壳，高低楼都可以，，拆内架，人年轻能干，价格合理，可包可点，要求钱快，欢迎各位老板来电：田,-- || -- || 建筑木工/铝模/拆模/二次结构
103,焊工/铆工/钣金/钳工 || 焊工 || 钢结构/打板/不锈钢/抗震支架,焊工2人找活~有证~人在昌平区小汤山，用人老板联系：,-- || -- || 焊工
104,包装工 || 普工 || 小工/杂工/拆除工/打磨/学徒 || 学徒工,有一到五人小工找活年轻力壮 山东菏泽,-- || -- || 小工/杂工/拆除工/打磨/学徒
105,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,明天还有14个爬架工，住工地都可以需要的老板联系,-- || -- || 架子工/爬架/拆架
106,包装工 || 普工 || 小工/杂工/拆除工/打磨/学徒 || 学徒工,找活，明天龙湖岀发一个小工带辆七座车，有需要的请联系,-- || -- || 架子工/爬架/拆架
